handle,sku,name,brand,finish,description,install_notes,recommended_for,notes
3m-1080-gloss-atomic-teal-vinyl-wrap-g356-blowout-stock-420-sq-ft-241140,G356,3M 1080 Gloss Atomic Teal Vinyl Wrap,3M,Gloss,,,,
3m-1080-gloss-plum-explosion-vinyl-wrap-gp258,GP258,3M 1080 Gloss Plum Explosion Vinyl Wrap,3M,Gloss,,,,
3m-2080-anthracite-carbon-fiber-vinyl-wrap-cfs201,CFS201,3M 2080 Anthracite Carbon Fiber Vinyl Wrap,3M,,,,,
3m-2080-black-carbon-fiber-vinyl-wrap-cfs12,CFS12,3M 2080 Black Carbon Fiber Vinyl Wrap,3M,,,,,
3m-2080-brushed-aluminum-vinyl-wrap-br120,BR120,3M 2080 Brushed Aluminum Vinyl Wrap,3M,Brushed,,,,
3m-2080-brushed-black-metallic-vinyl-wrap-br212,BR212,3M 2080 Brushed Black Metallic Vinyl Wrap,3M,Metallic,,,,
3m-2080-brushed-steel-vinyl-wrap-br201,BR201,3M 2080 Brushed Steel Vinyl Wrap,3M,Brushed,,,,
3m-2080-brushed-titanium-vinyl-wrap-br230,BR230,3M 2080 Brushed Titanium Vinyl Wrap,3M,Brushed,,,,
3m-2080-dead-matte-black-vinyl-wrap-dm12,DM12,3M 2080 Dead Matte Black Vinyl Wrap,3M,Matte,,,,
3m-2080-gloss-anthracite-vinyl-wrap-g201,G201,3M 2080 Gloss Anthracite Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-atomic-teal-vinyl-wrap-g356,G356,3M 2080 Gloss Atomic Teal Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-black-metallic-vinyl-wrap-g212,G212,3M 2080 Gloss Black Metallic Vinyl Wrap,3M,Metallic,,,,
3m-2080-gloss-black-vinyl-wrap-g12,G12,3M 2080 Gloss Black Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-blue-fire-vinyl-wrap-g337,G337,3M 2080 Gloss Blue Fire Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-blue-metallic-vinyl-wrap-g227,G227,3M 2080 Gloss Blue Metallic Vinyl Wrap,3M,Metallic,,,,
3m-2080-gloss-blue-raspberry-vinyl-wrap-g378,G378,3M 2080 Gloss Blue Raspberry Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-boat-blue-vinyl-wrap-g127,G127,3M 2080 Gloss Boat Blue Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-bright-orange-vinyl-wrap-g54,G54,3M 2080 Gloss Bright Orange Vinyl Wrap,3M,Gloss,,,,
3m-2080-gloss-bright-yellow-vinyl-wrap-g15,G15,3M 2080 Gloss Bright Yellow Vinyl Wrap,3M,Gloss,,,,
