sku,name,brand,finish,color_family,price_per_ft,roll_ft,qty_on_hand,availability,image_url,supplier_url,handle,notes
M212,3M 2080 Matte Black Metallic Vinyl Wrap,3M,Metallic,black,5.75,60,3,In stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/products/3M-2080-Matte-Black-Metallic-Vinyl-Wrap.jpg?v=1669043397,https://metrorestyling.com/products/3m-2080-matte-black-metallic-vinyl-wrap-m212,3m-2080-matte-black-metallic-vinyl-wrap-m212,Garage stock — edit this CSV to update lookbook pricing & availability
G356,3M 1080 Gloss Atomic Teal Vinyl Wrap,3M,Gloss,blue,4.85,60,2,In stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/files/3M-1080-Gloss-Atomic-Teal-Vinyl-Wrap.jpg?v=1741360859,https://metrorestyling.com/products/3m-1080-gloss-atomic-teal-vinyl-wrap-g356-blowout-stock-420-sq-ft-241140,3m-1080-gloss-atomic-teal-vinyl-wrap-g356-blowout-stock-420-sq-ft-241140,Garage stock — edit this CSV to update lookbook pricing & availability
GP258,3M 1080 Gloss Plum Explosion Vinyl Wrap,3M,Gloss,purple,4.85,60,1,Low stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/files/3M-1080-GP258-Gloss-Plum-Explosion.jpg?v=1689085463,https://metrorestyling.com/products/3m-1080-gloss-plum-explosion-vinyl-wrap-gp258,3m-1080-gloss-plum-explosion-vinyl-wrap-gp258,Garage stock — edit this CSV to update lookbook pricing & availability
S196,3M 2080 Satin Apple Green Vinyl Wrap,3M,Satin,green,5.10,60,0,Out of stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/products/3M-2080-S196-Satin-Apple-Green.jpg?v=1669044857,https://metrorestyling.com/products/3m-2080-satin-apple-green-vinyl-wrap-s196,3m-2080-satin-apple-green-vinyl-wrap-s196,Garage stock — edit this CSV to update lookbook pricing & availability
S51,3M 2080 Satin Battleship Gray Vinyl Wrap,3M,Satin,grey,5.10,60,4,In stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/files/3M-2080-S51-Satin-Battleship-Gray_ba0e4038-9f11-49ac-bc8c-07bf64b8e3d5.jpg?v=1688746702,https://metrorestyling.com/products/3m-2080-satin-battleship-gray-vinyl-wrap-s51,3m-2080-satin-battleship-gray-vinyl-wrap-s51,Garage stock — edit this CSV to update lookbook pricing & availability
DM12,3M 2080 Dead Matte Black Vinyl Wrap,3M,Matte,black,4.95,60,2,In stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/products/3M-2080-Dead-Matte-Black-Vinyl-Wrap.jpg?v=1669041631,https://metrorestyling.com/products/3m-2080-dead-matte-black-vinyl-wrap-dm12,3m-2080-dead-matte-black-vinyl-wrap-dm12,Garage stock — edit this CSV to update lookbook pricing & availability
M12,3M 2080 Matte Black Vinyl Wrap,3M,Matte,black,4.95,60,1,Low stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/products/3M-2080-Matte-Black-Vinyl-Wrap.jpg?v=1669043606,https://metrorestyling.com/products/3m-2080-matte-black-vinyl-wrap-m12,3m-2080-matte-black-vinyl-wrap-m12,Garage stock — edit this CSV to update lookbook pricing & availability
BR212,3M 2080 Brushed Black Metallic Vinyl Wrap,3M,Metallic,carbon,5.75,60,3,Low stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/products/3M-2080-Brushed-Black-Metallic-Vinyl-Wrap.jpg?v=1669041459,https://metrorestyling.com/products/3m-2080-brushed-black-metallic-vinyl-wrap-br212,3m-2080-brushed-black-metallic-vinyl-wrap-br212,Garage stock — edit this CSV to update lookbook pricing & availability
G212,3M 2080 Gloss Black Metallic Vinyl Wrap,3M,Metallic,black,5.75,60,0,On order,https://cdn.shopify.com/s/files/1/0467/3948/8920/products/3M-2080-Gloss-Black-Metallic-Vinyl-Wrap.jpg?v=1669041672,https://metrorestyling.com/products/3m-2080-gloss-black-metallic-vinyl-wrap-g212,3m-2080-gloss-black-metallic-vinyl-wrap-g212,Garage stock — edit this CSV to update lookbook pricing & availability
GC451,3M 2080 Gloss Silver Chrome Vinyl Wrap,3M,Chrome,chrome,8.50,60,3,In stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/products/3M-2080-Gloss-Silver-Chrome-Vinyl-Wrap.jpg?v=1669042966,https://metrorestyling.com/products/3m-2080-gloss-silver-chrome-vinyl-wrap-gc451,3m-2080-gloss-silver-chrome-vinyl-wrap-gc451,Garage stock — edit this CSV to update lookbook pricing & availability
Satin,APA Vehicle Wrap Film,APA,Chrome,chrome,8.50,60,2,In stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/products/CH-089.1-2.jpg?v=1613583953,https://metrorestyling.com/products/apa-vehicle-wrap-film-satin-silver-chrome-ch-089-1-5ft-x-81ft,apa-vehicle-wrap-film-satin-silver-chrome-ch-089-1-5ft-x-81ft,Garage stock — edit this CSV to update lookbook pricing & availability
MX12,3M 2080 Matrix Black Textured Vinyl Wrap,3M,Textured,black,6.25,60,1,Low stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/products/3M-2080-Matrix-Black-Textured-Vinyl-Wrap.jpg?v=1669043355,https://metrorestyling.com/products/3m-2080-matrix-black-textured-vinyl-wrap-mx12,3m-2080-matrix-black-textured-vinyl-wrap-mx12,Garage stock — edit this CSV to update lookbook pricing & availability
SB12,3M 2080 Shadow Black Textured Vinyl Wrap,3M,Textured,black,6.25,60,0,Out of stock,https://cdn.shopify.com/s/files/1/0467/3948/8920/products/3M-2080-Shadow-Black-Textured-Vinyl-Wrap.jpg?v=1669046224,https://metrorestyling.com/products/3m-2080-shadow-black-textured-vinyl-wrap-sb12,3m-2080-shadow-black-textured-vinyl-wrap-sb12,Garage stock — edit this CSV to update lookbook pricing & availability
